city_name,city_number,country,lat,lon,temp,humidity,wind,clouds
reconquista,3429594,AR,-29.15,-59.65,17.67,82,3.18,59
leh,1264976,IN,34.17,77.58,6.3,54,0.92,100
grand centre,1000000, ,0.0,0.0,0.0,0,0.0,0
atar,2381334,MR,20.52,-13.05,24.06,20,3.92,0
taltal,3870243,CL,-25.4,-70.48,14.32,75,1.17,2
coahuayana,4013679,MX,18.73,-103.68,22.93,84,0.58,36
fonte boa,6319315,BR,-2.5,-66.27,23.86,97,0.93,100
namibe,3347019,AO,-15.2,12.15,23.89,56,3.26,9
hrebinka,708181,UA,50.12,32.44,2.19,81,4.88,0
severo-yeniseyskiy,1492566,RU,60.37,93.04,6.62,62,3.05,100
teknaf,1185095,BD,20.86,92.31,32.13,54,1.92,0
qitaihe,2035261,CN,45.8,130.85,13.08,40,7.58,19
lodwar,189280,KE,3.12,35.6,27.54,60,1.62,48
puerto del rosario,2512186,ES,28.5,-13.86,20.0,68,4.6,94
scarborough,2638419,GB,54.28,-0.4,4.03,79,0.45,28
zapatoca,3665587,CO,6.82,-73.27,16.4,100,1.03,97
copperas cove,4683244,US,31.12,-97.9,19.3,93,3.6,20
sao paulo de olivenca,3662252,BR,-3.38,-68.87,23.26,98,0.6,100
mabaruma,3377301,GY,8.2,-59.78,24.94,82,2.4,100
bolungarvik,1000000, ,0.0,0.0,0.0,0,0.0,0
kaiyuan,1804850,CN,23.7,103.3,27.37,45,4.57,100
mariental,3355595,NA,-24.63,17.97,16.11,37,3.86,42
querfurt,2851393,DE,51.38,11.6,2.56,83,1.25,46
yumen,1528998,CN,40.28,97.2,21.61,19,8.96,100
puerto leguizamo,3671437,CO,-0.19,-74.78,22.33,95,0.81,100
broome,5110365,US,42.25,-75.83,-0.38,98,3.1,90
codajas,3664525,BR,-3.84,-62.06,24.1,95,0.68,100
jiuquan,1279945,CN,39.74,98.52,22.13,18,6.21,100
casa grande,5288636,US,32.88,-111.76,30.84,13,6.7,1
chilca,3943957,PE,-12.52,-76.74,20.0,77,4.6,68
baherden,162158,TM,38.44,57.43,17.23,44,0.49,71
gbadolite,216404,CD,4.28,21.02,21.75,96,1.24,91
valleyview,6173220,CA,55.07,-117.29,9.84,49,2.29,0
aykhal,2027296,RU,66.0,111.5,-5.0,79,5.0,90
lubao,1705441,PH,14.92,120.55,33.5,59,1.0,40
champua,1274822,IN,22.08,85.67,33.33,33,3.87,0
prince rupert,6113406,CA,54.32,-130.32,14.0,67,1.0,1
ancud,3899695,CL,-41.87,-73.82,9.21,93,2.1,90
artyk,1000000, ,0.0,0.0,0.0,0,0.0,0
taber,6160919,CA,49.82,-112.15,7.11,80,3.1,75
atbasar,1526038,KZ,51.8,68.33,20.04,62,3.83,85
marcona,1000000, ,0.0,0.0,0.0,0,0.0,0
mercedes,3430708,AR,-34.65,-59.43,10.02,76,1.15,30
elizabeth city,4465088,US,36.29,-76.25,8.85,73,0.85,1
matara,1235846,LK,5.95,80.54,27.75,77,1.81,100
kaniama,214389,CD,-7.57,24.18,19.04,90,1.56,94
